Country,State,Year,Sector,Consumer Category,Energy Sale (GWh)
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,1.12
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,70.45
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,143.16
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),0.0
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),12.82
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,34.23
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,6.73
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.0
India,Andaman And Nicobar Islands,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.0
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,14930.02
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,4899.11
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,15634.51
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),12462.27
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),2785.42
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,2866.47
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,286.17
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,1595.08
India,Andhra Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,932.67
India,Andhra Pradesh,2019,Private Licensees,Agriculture,408.1
India,Andhra Pradesh,2019,Private Licensees,Commercial,30.45
India,Andhra Pradesh,2019,Private Licensees,Domestic,205.84
India,Andhra Pradesh,2019,Private Licensees,Industrial Power (High Voltage),0.0
India,Andhra Pradesh,2019,Private Licensees,Industrial Power (Low and Med Voltage),46.75
India,Andhra Pradesh,2019,Private Licensees,Miscellaneous,2.58
India,Andhra Pradesh,2019,Private Licensees,Public Lighting,10.54
India,Andhra Pradesh,2019,Private Licensees,Traction,0.15
India,Andhra Pradesh,2019,Private Licensees,Works and Sewage Pumping,22.65
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,0.03
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,51.53
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,167.38
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),117.67
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),4.42
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,67.44
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,10.22
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.0
India,Arunachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.0
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,37.0
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,1078.0
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,3652.0
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),1551.2
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),113.8
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,586.0
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,14.0
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.0
India,Assam,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,77.0
India,Assam,2019,Private Licensees,Agriculture,0.0
India,Assam,2019,Private Licensees,Commercial,0.0
India,Assam,2019,Private Licensees,Domestic,0.0
India,Assam,2019,Private Licensees,Industrial Power (High Voltage),0.0
India,Assam,2019,Private Licensees,Industrial Power (Low and Med Voltage),0.0
India,Assam,2019,Private Licensees,Miscellaneous,0.0
India,Assam,2019,Private Licensees,Public Lighting,0.0
India,Assam,2019,Private Licensees,Traction,0.0
India,Assam,2019,Private Licensees,Works and Sewage Pumping,0.0
India,Bihar,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,932.94
India,Bihar,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,2126.53
India,Bihar,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,13497.5
India,Bihar,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),2690.05
India,Bihar,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),654.09
India,Bihar,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,1127.53
India,Bihar,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,106.21
India,Bihar,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,1442.74
India,Bihar,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,130.99
India,Chandigarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,1.02
India,Chandigarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,474.48
India,Chandigarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,757.26
India,Chandigarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),137.74
India,Chandigarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),122.8
India,Chandigarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,86.13
India,Chandigarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,14.79
India,Chandigarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.0
India,Chandigarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,9.59
India,Chhattisgarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,5082.35
India,Chhattisgarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,1563.46
India,Chhattisgarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,5605.74
India,Chhattisgarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),8533.16
India,Chhattisgarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),557.61
India,Chhattisgarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,0.0
India,Chhattisgarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,88.83
India,Chhattisgarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,987.52
India,Chhattisgarh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,374.4
India,Delhi,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,0.0
India,Delhi,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,0.0
India,Delhi,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,88.4
India,Delhi,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),0.0
India,Delhi,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),0.0
India,Delhi,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,0.0
India,Delhi,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,0.0
India,Delhi,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.0
India,Delhi,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.0
India,Delhi,2019,MUNICIPALITIES,Agriculture,0.0
India,Delhi,2019,MUNICIPALITIES,Commercial,1058.6
India,Delhi,2019,MUNICIPALITIES,Domestic,288.37
India,Delhi,2019,MUNICIPALITIES,Industrial Power (High Voltage),0.0
India,Delhi,2019,MUNICIPALITIES,Industrial Power (Low and Med Voltage),0.0
India,Delhi,2019,MUNICIPALITIES,Miscellaneous,98.88
India,Delhi,2019,MUNICIPALITIES,Public Lighting,7.72
India,Delhi,2019,MUNICIPALITIES,Traction,0.0
India,Delhi,2019,MUNICIPALITIES,Works and Sewage Pumping,2.7
India,Delhi,2019,Private Licensees,Agriculture,37.36
India,Delhi,2019,Private Licensees,Commercial,6594.72
India,Delhi,2019,Private Licensees,Domestic,16084.72
India,Delhi,2019,Private Licensees,Industrial Power (High Voltage),383.84
India,Delhi,2019,Private Licensees,Industrial Power (Low and Med Voltage),3008.7
India,Delhi,2019,Private Licensees,Miscellaneous,1204.3
India,Delhi,2019,Private Licensees,Public Lighting,346.21
India,Delhi,2019,Private Licensees,Traction,221.0
India,Delhi,2019,Private Licensees,Works and Sewage Pumping,386.5
India,Goa,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,27.29
India,Goa,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,616.64
India,Goa,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,1208.13
India,Goa,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),1970.4
India,Goa,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),101.12
India,Goa,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,53.28
India,Goa,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,2.9
India,Goa,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.0
India,Goa,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.0
India,Goa,2019,Private Licensees,Agriculture,0.0
India,Goa,2019,Private Licensees,Commercial,0.0
India,Goa,2019,Private Licensees,Domestic,0.0
India,Goa,2019,Private Licensees,Industrial Power (High Voltage),93.14
India,Goa,2019,Private Licensees,Industrial Power (Low and Med Voltage),31.29
India,Goa,2019,Private Licensees,Miscellaneous,0.0
India,Goa,2019,Private Licensees,Public Lighting,0.0
India,Goa,2019,Private Licensees,Traction,0.0
India,Goa,2019,Private Licensees,Works and Sewage Pumping,0.0
India,Gujarat,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,11943.5
India,Gujarat,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,3143.81
India,Gujarat,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,12173.49
India,Gujarat,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),35839.42
India,Gujarat,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),10701.3
India,Gujarat,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,162.71
India,Gujarat,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,255.82
India,Gujarat,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,686.34
India,Gujarat,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,1875.03
India,Gujarat,2019,Private Licensees,Agriculture,46.33
India,Gujarat,2019,Private Licensees,Commercial,1860.68
India,Gujarat,2019,Private Licensees,Domestic,3927.11
India,Gujarat,2019,Private Licensees,Industrial Power (High Voltage),3465.31
India,Gujarat,2019,Private Licensees,Industrial Power (Low and Med Voltage),5914.21
India,Gujarat,2019,Private Licensees,Miscellaneous,50.78
India,Gujarat,2019,Private Licensees,Public Lighting,17.94
India,Gujarat,2019,Private Licensees,Traction,15.35
India,Gujarat,2019,Private Licensees,Works and Sewage Pumping,165.97
India,Haryana,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,10371.16
India,Haryana,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,4875.92
India,Haryana,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,11077.81
India,Haryana,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),12163.83
India,Haryana,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),1800.72
India,Haryana,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,1366.38
India,Haryana,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,223.06
India,Haryana,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,385.29
India,Haryana,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,1117.9
India,Himachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,56.73
India,Himachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,623.0
India,Himachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,2193.69
India,Himachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),5233.3
India,Himachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),89.57
India,Himachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,356.49
India,Himachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,10.75
India,Himachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.0
India,Himachal Pradesh,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,560.47
India,Jammu And Kashmir,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,359.952
India,Jammu And Kashmir,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,1370.799
India,Jammu And Kashmir,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,4348.371
India,Jammu And Kashmir,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),1368.207
India,Jammu And Kashmir,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),636.107
India,Jammu And Kashmir,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,1491.647
India,Jammu And Kashmir,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,61.475
India,Jammu And Kashmir,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,22.321
India,Jammu And Kashmir,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,731.641
India,Jharkhand,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,193.91
India,Jharkhand,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,903.38
India,Jharkhand,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,5664.43
India,Jharkhand,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),10528.65
India,Jharkhand,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),270.67
India,Jharkhand,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,80.15
India,Jharkhand,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,45.96
India,Jharkhand,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,1001.74
India,Jharkhand,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.0
India,Jharkhand,2019,Private Licensees,Agriculture,0.0
India,Jharkhand,2019,Private Licensees,Commercial,91.62
India,Jharkhand,2019,Private Licensees,Domestic,317.07
India,Jharkhand,2019,Private Licensees,Industrial Power (High Voltage),2451.49
India,Jharkhand,2019,Private Licensees,Industrial Power (Low and Med Voltage),12.23
India,Jharkhand,2019,Private Licensees,Miscellaneous,352.14
India,Jharkhand,2019,Private Licensees,Public Lighting,81.91
India,Jharkhand,2019,Private Licensees,Traction,1.68
India,Jharkhand,2019,Private Licensees,Works and Sewage Pumping,0.0
India,Karnataka,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,21645.4
India,Karnataka,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,6853.68
India,Karnataka,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,13819.62
India,Karnataka,2019,GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),7658.75
